census_division,Scenario,Category,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Middle Atlantic,NREL High Electrification,Transportation: Heavy Duty,0.086008483,0.146975523,0.221833704,0.323493483,0.470672521,0.661481789,0.90651203,1.210964023,1.566219146,1.988170198,2.550005297,3.249278462,4.090365186,5.074672872,6.218353343,7.526677623,9.140503443,10.99552431,12.96881935,14.97992305,17.0604357,19.20214471,21.19321014,23.13197902,25.01963094,26.85710481,28.64992233,30.30821334,31.84270078,33.30343581,34.61535909,35.86043706,37.08684203,38.25352545
Middle Atlantic,NREL High Electrification,Transportation: Light Duty,0.88739066,1.156938902,1.534475083,2.065640341,2.789129883,3.858009894,5.101714745,6.693628311,8.613401046,11.4325583,15.28218478,19.43741417,23.70264028,28.04713192,32.66790671,37.6977159,42.87222324,47.89856038,52.80981545,57.6550414,62.28121965,66.66402117,70.81013215,74.73990848,78.62806585,82.3149816,85.82725462,89.20667426,92.50646087,95.95621665,99.41088582,102.8849485,106.3805825,109.8943143
Middle Atlantic,NREL High Electrification,Transportation: Other,0.922339275,0.93836061,0.949352336,0.961361308,0.974505457,0.987704665,1.001019461,1.014106988,1.026038251,1.037022167,1.048695311,1.061136954,1.072507072,1.082406186,1.091741031,1.101606171,1.112609612,1.123475598,1.134386881,1.144724133,1.155497961,1.166419007,1.176491892,1.186112972,1.195592691,1.205229,1.214637648,1.22367181,1.232603271,1.241407429,1.249867559,1.258310507,1.266970572,1.275534184
Middle Atlantic,NREL Medium Electrification,Buildings Other,269.176813,268.2343226,267.5713969,267.2135838,267.1238069,267.1201533,267.095115,267.1513507,267.242974,267.3849038,267.6864105,268.0905632,268.6165107,269.2616418,270.2696757,271.5558219,273.0454847,274.7572704,276.6775269,278.7012307,280.8951808,283.2263891,285.6507798,288.1903553,290.3734674,292.6348782,294.949774,297.3025978,299.7301723,302.2090645,304.7033675,307.2345883,309.8376391,312.528179
Middle Atlantic,NREL Medium Electrification,Buildings: Space Heating,16.07967722,16.80621238,17.64701722,18.46652947,19.28726436,20.09435198,20.89059856,21.67474566,22.44535301,23.20647068,23.95303551,24.68781047,25.40335561,26.10073182,26.76639044,27.38415633,27.94546352,28.49121042,29.03903427,29.63456529,30.2911812,31.05141572,31.90276982,32.87591666,33.71025777,34.66912061,35.75696263,36.97344136,38.32139123,39.78249223,41.35106412,43.00824064,44.73601588,46.51627947
Middle Atlantic,NREL Medium Electrification,Buildings: Water Heating,11.44851843,11.46261693,11.46064732,11.43901614,11.40980004,11.3705409,11.32503503,11.27675178,11.230236,11.19140884,11.16515563,11.15391446,11.15922001,11.18476663,11.23204498,11.29852206,11.38136911,11.48053629,11.59399588,11.71994677,11.85685239,12.00489218,12.16429041,12.33526369,12.44564634,12.5685737,12.70420769,12.85207504,13.0112838,13.18026278,13.35673194,13.53878117,13.72353303,13.90850686
Middle Atlantic,NREL Medium Electrification,Industry,62.26459485,64.11443462,65.29216198,66.41832353,68.09533962,69.51266864,70.72722831,71.42377843,71.49939151,71.12891821,71.11604974,70.9487958,70.77335966,70.5997448,70.55419434,70.61555253,71.08516445,71.69610866,72.1213822,72.46850996,73.05350104,73.86689419,74.42891451,75.04076832,75.73987022,76.32464125,76.9856565,77.61625303,78.25284466,78.88680717,79.41302195,80.01516632,80.79236117,81.50024981
Middle Atlantic,NREL Medium Electrification,Transportation: Heavy Duty,0.029909362,0.051286655,0.07780169,0.11431429,0.163663778,0.225392118,0.304101628,0.400955838,0.512083246,0.647774996,0.834438806,1.07091387,1.358881333,1.699544406,2.109299295,2.588198607,3.189517711,3.882683877,4.619545396,5.374448743,6.15529637,6.961995142,7.708612393,8.448163678,9.161190456,9.857959816,10.53501873,11.15845627,11.73642934,12.28959846,12.78940647,13.26842276,13.74186706,14.1927866
Middle Atlantic,NREL Medium Electrification,Transportation: Light Duty,0.885554292,1.146905601,1.503761495,2.003980014,2.684420775,3.66321586,4.830078093,6.255450171,7.991062526,10.35543449,13.37301251,17.10817303,20.90330264,24.78624863,28.77984509,32.97139483,37.24412248,41.36734091,45.25438535,48.9482252,52.33716111,55.41089993,58.18111137,60.66659949,62.96285996,64.98554075,66.75536642,68.30762361,69.69191867,71.08114919,72.40129813,73.68191001,74.93942521,76.18337204
Middle Atlantic,NREL Medium Electrification,Transportation: Other,0.922339275,0.93836061,0.949352336,0.961361308,0.974505457,0.987704665,1.001019461,1.014106988,1.026038251,1.037022167,1.048695311,1.061136954,1.072507072,1.082406186,1.091741031,1.101606171,1.112609612,1.123475598,1.134386881,1.144724133,1.155497961,1.166419007,1.176491892,1.186112972,1.195592691,1.205229,1.214637648,1.22367181,1.232603271,1.241407429,1.249867559,1.258310507,1.266970572,1.275534184
Mountain,NREL High Electrification,Buildings Other,164.1123455,163.3095178,163.1933861,163.2636987,163.4600282,163.7411064,164.0371271,164.4301343,164.860403,165.3290994,165.8903502,166.5144355,167.2011242,167.9368351,168.8583571,169.9070921,171.0690306,172.3870108,173.8083431,175.2624603,176.7513565,178.2751694,179.7903109,181.2657058,182.561381,183.8400016,185.1160808,186.3675489,187.5765891,188.73532,189.764074,190.7122087,191.5901423,192.4112288
Mountain,NREL High Electrification,Buildings: Space Heating,8.878000768,9.241886042,9.404291022,9.554528405,9.699656018,9.842105372,9.982675668,10.12406082,10.27660328,10.44382367,10.62985621,10.8430699,11.08640253,11.37423833,11.70985615,12.09413853,12.52744202,13.00862015,13.52685321,14.08268384,14.65774211,15.2478985,15.83948011,16.42772826,16.9420431,17.44540717,17.92616679,18.38592406,18.81314205,19.21206811,19.56902907,19.88774015,20.16220841,20.40002464
Mountain,NREL High Electrification,Buildings: Water Heating,7.491545702,7.486983313,7.47842069,7.465496129,7.45484267,7.446927463,7.445625454,7.453969862,7.473787611,7.507722657,7.557932045,7.626428006,7.712743629,7.818172289,7.944038239,8.088331886,8.247048418,8.417540909,8.595863421,8.778560236,8.959968462,9.136594575,9.305131425,9.46421716,9.608402085,9.7435428,9.869708963,9.987223337,10.09670264,10.20005463,10.29733488,10.39012707,10.4796952,10.56705079
Mountain,NREL High Electrification,Industry,55.33225847,57.74814362,59.50726357,60.47167855,61.8126503,62.3412125,63.48919048,64.50869122,64.56175591,64.56457597,64.82168168,64.9709573,65.24569016,65.43598404,65.59977265,65.72779125,66.21783955,66.95686096,67.68562572,68.34391255,69.07690381,69.98026016,70.77414891,71.60728063,72.50729312,73.36623712,74.37378861,75.35956575,76.32151825,77.31685324,78.21491324,79.08320933,80.0690964,81.10397127
Mountain,NREL High Electrification,Transportation: Heavy Duty,0.092135861,0.157235805,0.236847228,0.344362043,0.492504087,0.679343899,0.916424725,1.211410439,1.554203243,1.962570023,2.516206203,3.216279758,4.066633456,5.066203707,6.224834849,7.555869075,9.206061438,11.11569676,13.15799602,15.24058152,17.3975956,19.61583501,21.68306306,23.68178064,25.63662661,27.53626153,29.39296695,31.11365153,32.70447511,34.21505068,35.56796429,36.84617601,38.1031912,39.29829025
Mountain,NREL High Electrification,Transportation: Light Duty,0.618143322,0.808179018,1.074117926,1.448033097,1.95716025,2.709007486,3.583686279,4.703043924,6.05276424,8.034519338,10.7404278,13.6610315,16.65886464,19.71235129,22.95998694,26.49509219,30.1318926,33.66455407,37.11633238,40.52170344,43.7731212,46.85348645,49.76749849,52.52946399,55.26217844,57.85345418,60.3219857,62.69714384,65.01633345,67.44092592,69.86897166,72.31064774,74.76748487,77.23704159
Mountain,NREL High Electrification,Transportation: Other,0.48902065,0.497515098,0.503342868,0.509709978,0.516678953,0.523677122,0.530736574,0.537675529,0.544001438,0.549825067,0.556014122,0.562610632,0.568639024,0.573887495,0.578836793,0.584067251,0.589901232,0.595662335,0.601447455,0.606928225,0.612640466,0.618430762,0.623771366,0.628872424,0.633898534,0.639007667,0.643996095,0.648785972,0.653521397,0.658189328,0.662674855,0.667151273,0.671742805,0.676283199
Mountain,NREL Medium Electrification,Buildings Other,164.5843958,163.9420548,164.013046,164.2831973,164.630349,165.0443082,165.4642405,165.9709312,166.5033218,167.0598262,167.6973209,168.3860444,169.1322589,169.9235227,170.7990702,171.7626154,172.8244998,174.0344789,175.3360176,176.6671277,178.0242935,179.4067708,180.7713211,182.0870226,183.209341,184.3028861,185.3848017,186.4342729,187.4378921,188.3809797,189.1867226,189.9083629,190.556876,191.1476206
Mountain,NREL Medium Electrification,Buildings: Space Heating,8.878000768,9.24177713,9.402803794,9.549714822,9.688471244,9.819982799,9.942979175,10.05735982,10.1697233,10.27884936,10.3831984,10.48473988,10.57969733,10.6759384,10.77173812,10.86891943,10.96993838,11.0797093,11.19958991,11.34103693,11.50008662,11.68176774,11.88375975,12.10826719,12.31304632,12.54521381,12.80129044,13.08571016,13.39319088,13.72562366,14.07600994,14.44449137,14.82441236,15.21700825
Mountain,NREL Medium Electrification,Buildings: Water Heating,7.491545702,7.486983313,7.478109075,7.464413416,7.45226179,7.441768872,7.43631921,7.438282216,7.448574614,7.468732174,7.499532426,7.541514023,7.59280616,7.653615516,7.724239264,7.803300648,7.88833678,7.979254498,8.075676241,8.177856137,8.283993706,8.393442398,8.506030025,8.622086315,8.73706139,8.857138797,8.982317332,9.112383283,9.247008347,9.385762078,9.5278134,9.672591991,9.81911457,9.96619819
Mountain,NREL Medium Electrification,Industry,55.33161697,57.74513194,59.50102698,60.46121026,61.79648987,62.31758334,63.45601474,64.46369057,64.50252922,64.48824081,64.72614593,64.85155242,65.09798311,65.2542621,65.37862005,65.46041238,65.89668835,66.57409034,67.2335107,67.81452685,68.46020932,69.26465753,69.9493727,70.6627524,71.43223866,72.1490604,73.00547762,73.83729242,74.64422021,75.483193,76.22836667,76.94886942,77.78889519,78.6834181
Mountain,NREL Medium Electrification,Transportation: Heavy Duty,0.030200796,0.051661542,0.078076281,0.114341636,0.16366184,0.225495348,0.304354521,0.401845223,0.514099808,0.648031358,0.830707892,1.061908656,1.343285314,1.675146999,2.071601897,2.534380621,3.116611863,3.790357774,4.50838101,5.24379547,6.006311359,6.795243952,7.527586268,8.249841681,8.949460464,9.632682438,10.29809083,10.91194479,11.48070906,12.02449317,12.51474103,12.98316785,13.44605744,13.88712266
Mountain,NREL Medium Electrification,Transportation: Light Duty,0.616852667,0.801127311,1.052531489,1.404696356,1.883567525,2.57210035,3.392771818,4.395079066,5.615365865,7.277484149,9.398603854,12.02397048,14.69140561,17.42050406,20.22733986,23.17329106,26.17629349,29.07421588,31.80614804,34.4022902,36.78413667,38.94445313,40.89144138,42.6383175,44.25219872,45.67379986,46.91768679,48.00866001,48.98158438,49.95797753,50.88581806,51.78587076,52.6696904,53.54397379
Mountain,NREL Medium Electrification,Transportation: Other,0.48902065,0.497515098,0.503342868,0.509709978,0.516678953,0.523677122,0.530736574,0.537675529,0.544001438,0.549825067,0.556014122,0.562610632,0.568639024,0.573887495,0.578836793,0.584067251,0.589901232,0.595662335,0.601447455,0.606928225,0.612640466,0.618430762,0.623771366,0.628872424,0.633898534,0.639007667,0.643996095,0.648785972,0.653521397,0.658189328,0.662674855,0.667151273,0.671742805,0.676283199
New England,NREL High Electrification,Buildings Other,93.21001549,93.4161312,93.50412507,93.72329885,93.88560072,94.02548557,94.11230173,94.23235491,94.37788007,94.56798107,94.8021849,95.05172995,95.33657217,95.69207602,96.1612224,96.71812994,97.35561642,98.07872388,98.85132491,99.64852838,100.4884339,101.3483213,102.2490773,103.1720932,103.8854085,104.6117124,105.3554751,106.1234932,106.8981777,107.7791088,108.5946664,109.4196702,110.2237684,111.0769012
New England,NREL High Electrification,Buildings: Space Heating,4.552340491,4.692060149,4.902137967,5.112599989,5.327563675,5.543929553,5.767849855,6.003717561,6.260631682,6.553365964,6.904086045,7.327771133,7.854090914,8.504662538,9.294268928,10.19508588,11.20267064,12.2971761,13.47115135,14.69664499,15.96196273,17.2607754,18.5721721,19.89686213,21.06542659,22.20908407,23.32384792,24.38745416,25.39010448,26.32745756,27.17609779,27.93349626,28.60229776,29.18299424
New England,NREL High Electrification,Buildings: Water Heating,4.779176459,4.837560772,4.883205137,4.915780339,4.938966842,4.951459693,4.955322749,4.952635241,4.946034093,4.939639576,4.936470946,4.939431576,4.950476079,4.971327009,5.00323949,5.044673573,5.093322159,5.147947446,5.20627768,5.266166591,5.326217992,5.384836973,5.441553954,5.495631358,5.502483003,5.5068669,5.509285612,5.509851413,5.508998775,5.506671466,5.503594903,5.500063145,5.495990351,5.491647989
