,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
10,WECC_ElPasoElectric,SH,WECC_ElPasoElectric_capacity_SH10,,,,,,,,,,-168.7816658418562,-171.7476170493092,-174.49135524941516,-177.1417753228151,-179.74328319219953,-182.3104744147422,-184.8925470968135,-187.67838219512674,-190.73227572493886,-194.1297296493109,-198.02358439010158,-202.46749188457147,-207.7241468132455,-213.8534297851824,-220.87145835157204,-228.78474407322366,-237.57234932814558,-247.03667714647412,-257.1876375923169,-267.68974639626094,-278.46758742987106,-289.2714568092862,-300.0144482543423,-309.4072188498562,-318.5999989678364,-327.3799611059043,-335.77636391382185,-343.57851205783925,-350.8639735587211,-357.383039601681,-363.2035600842098,-368.2160878229192,-372.55925103454257,,,,
11,WECC_NevadaNorth,SH,WECC_NevadaNorth_capacity_SH11,,,,,,,,,,-235.56422995502336,-239.70373177107058,-243.5330966080768,-247.23221973577944,-250.8630773583584,-254.44604011956363,-258.0497725510822,-261.9378909461851,-266.20013159967453,-270.9418706594859,-276.37642357135564,-282.57867096419153,-289.9152490471014,-298.46973164602065,-308.26461361260175,-319.30898296478927,-331.5736176020844,-344.78273651583777,-358.9501709276378,-373.6076940713124,-388.6500495961054,-403.72873221369014,-418.72244906406894,-431.8316974023899,-444.6618241749677,-456.9157915106503,-468.63443495437923,-479.5236924479185,-489.6918236828018,-498.7903164887364,-506.9138672225526,-513.9097232653743,-519.9713644537819,,,,
12,WECC_NevadaSouth,SH,WECC_NevadaSouth_capacity_SH12,,,,,,,,,,-385.6285528368191,-392.4050914271325,-398.6739227376454,-404.7295428917475,-410.67340954255013,-416.53887029071035,-422.4383318627961,-428.8033452192298,-435.780812449128,-443.5432387390363,-452.43983044618795,-462.5931703097654,-474.6034572256823,-488.60750506231193,-504.6421388379974,-522.7222360203775,-542.7999588017841,-564.4238420710424,-587.6165281196677,-611.6115100366872,-636.2364787485769,-660.9209164393719,-685.4662615953856,-706.9266525318636,-727.9301097246927,-747.990369684667,-767.1742819164975,-785.0004544618911,-801.6461129895526,-816.5407284174497,-829.8393226648708,-841.2918332695712,-851.214994862263,,,,
13,WECC_NorthwesternMT,SH,WECC_NorthwesternMT_capacity_SH13,,,,,,,,,,-178.00355710242985,-181.1315619273944,-184.0252124725566,-186.82044617597865,-189.56409521078726,-192.2715526060881,-194.99470455398003,-197.9327520873252,-201.15350422652972,-204.736588210287,-208.8431953541597,-213.5299090295121,-219.07377702664823,-225.5379517108488,-232.93943126393202,-241.28508302531273,-250.55282538338227,-260.53426506667375,-271.23985360529565,-282.3157765431008,-293.6824971658532,-305.0766682709532,-316.40663519362073,-326.31260791115005,-336.0076630730904,-345.2673447097505,-354.1225101047559,-362.3509519544559,-370.03447644049146,-376.9097311599217,-383.0482731923748,-388.3346753801626,-392.9151403073766,,,,
14,WECC_PNW_Avista,SH,WECC_PNW_Avista_capacity_SH14,,,,,,,,,,-185.11424235826908,-187.32801864588137,-189.41021210726765,-191.49959719201922,-193.57145037088995,-195.63985206120566,-197.87219811623405,-200.13688251838326,-202.57218043205526,-205.2891049003413,-208.3169916593166,-211.73868314254722,-215.60038996718038,-219.93565911465643,-224.69616821189211,-229.90480177032566,-235.5095216234142,-241.37554731558345,-247.3955060815148,-253.6112133912098,-259.8910021820352,-266.0013325255189,-271.96037543175026,-276.33969744103393,-280.4351884701366,-284.2719370727353,-287.67514503743104,-290.689050948622,-293.2702543693697,-295.38279421205317,-297.012411428331,-298.1664056443336,-298.8717764972777,,,,
15,WECC_PNW_Bonneville_IDMT,SH,WECC_PNW_Bonneville_IDMT_capacity_SH15,,,,,,,,,,-51.144086506999486,-51.75571727359204,-52.33099382258573,-52.90825730139551,-53.48067699671472,-54.052143101283754,-54.66890439580894,-55.294600255290135,-55.96743388267848,-56.71807639547914,-57.55463278553107,-58.49999108421842,-59.566918541488086,-60.7646836485106,-62.07993571115397,-63.51899735169601,-65.06749126206233,-66.68817977111797,-68.35139751153085,-70.06869742481344,-71.80370202020303,-73.49188797333271,-75.13827564190211,-76.34821184579143,-77.47973011695547,-78.5397620190775,-79.48001361901031,-80.31270732578398,-81.02585229702494,-81.60951306287018,-82.05975007770397,-82.37858011076858,-82.57346272737821,,,,
16,WECC_PNW_Bonneville_OR,SH,WECC_PNW_Bonneville_OR_capacity_SH16,,,,,,,,,,-261.2315937433409,-264.35565540621894,-267.29402853986016,-270.2425504292611,-273.1663314469913,-276.08524175437236,-279.23550891000855,-282.4314116572111,-285.86808269410045,-289.7021826525304,-293.9751098657192,-298.8037708486618,-304.2533776186046,-310.3712713812556,-317.08926002792975,-324.43963798027136,-332.34896943448547,-340.6270533948702,-349.12236635760723,-357.8939179468748,-366.7559007597581,-375.37874529938694,-383.7880943356808,-389.9681551101853,-395.7476760971412,-401.16206204325107,-405.9646392470996,-410.21783681062954,-413.86040841823524,-416.84160609875977,-419.1413076083601,-420.7698141153501,-421.7652272707467,,,,
17,WECC_PNW_Bonneville_WA,SH,WECC_PNW_Bonneville_WA_capacity_SH17,,,,,,,,,,-444.2487013787228,-449.56145975098997,-454.558437452197,-459.5726740595809,-464.5448365060518,-469.508715855075,-474.86603911308197,-480.30096995292655,-486.1453497361161,-492.6655944855402,-499.93210592982575,-508.1436945065809,-517.4112593362408,-527.8153085566463,-539.2398751237907,-551.7398787151587,-565.190434893906,-579.2680891186782,-593.7151615321694,-608.6320035066403,-623.7026322152489,-638.3665839755569,-652.6674667106076,-663.1772367356402,-673.0058514765083,-682.2135200086908,-690.3807506851495,-697.6137100191639,-703.8082429359889,-708.878047775244,-712.7889047836132,-715.5583320590442,-717.2511250144578,,,,
18,WECC_PNW_ChelanCountyPUD,SH,WECC_PNW_ChelanCountyPUD_capacity_SH18,,,,,,,,,,-28.792717668939304,-29.137049011678734,-29.46091392721437,-29.785897429729072,-30.108154015017984,-30.429873754874382,-30.777093444094213,-31.129343048282593,-31.508129922673426,-31.93072106502211,-32.40167936338992,-32.933890151559304,-33.53454104100672,-34.20884993799887,-34.949300767988724,-35.75945299387034,-36.63121258561019,-37.543615755899424,-38.479961716739396,-39.44675445727007,-40.42351444813486,-41.373916827782004,-42.30078791987306,-42.98194881051181,-43.618962556263504,-44.2157314373284,-44.74506729419093,-45.213851007837974,-45.615332062957705,-45.94391706257676,-46.197388150586924,-46.37688071274562,-46.48659427968669,,,,
19,WECC_PNW_DouglasCountyPUD,SH,WECC_PNW_DouglasCountyPUD_capacity_SH19,,,,,,,,,,-31.64580741324717,-32.02425878015067,-32.38021568782405,-32.73740202401201,-33.09159123091362,-33.445190396008016,-33.826816317585816,-34.21397057178681,-34.63029169212931,-35.09475767478079,-35.61238354744706,-36.197331460294826,-36.857501250052245,-37.598627868824764,-38.41245046918722,-39.30288122360399,-40.261024059165884,-41.26383787279061,-42.29296698417281,-43.35555986710736,-44.42910766191025,-45.473686052086,-46.492401423607234,-47.241059004681766,-47.94119487061276,-48.59709798116808,-49.17888608383366,-49.69412189071773,-50.13538597340945,-50.496530681470254,-50.77511838993965,-50.97239699071279,-51.09298214873638,,,,
