,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
10,WECC_ElPasoElectric,SH,WECC_ElPasoElectric_capacity_SH10,,,,,,,,,,-168.7816658418562,-171.72247995288393,-174.40550159337434,-176.93959646733452,-179.3413790485547,-181.5876497540452,-183.67657221252978,-185.72865538521586,-187.72161387517656,-189.62733011919062,-191.48177217133818,-193.21597073181513,-194.97361191797543,-196.72319277253814,-198.49800546924882,-200.34290460745112,-202.3476401121033,-204.53700788989318,-207.12024089022918,-210.02494971973442,-213.342974127191,-217.03193431904378,-221.13209159226835,-224.87195268227998,-229.1120046944975,-233.78870697660167,-238.98303632090534,-244.59852643777785,-250.6697135698181,-257.0687837047773,-263.7983237826593,-270.7367834185591,-277.90672350527336,,,,
11,WECC_NevadaNorth,SH,WECC_NevadaNorth_capacity_SH11,,,,,,,,,,-235.56422995502336,-239.66864857211533,-243.41327286849463,-246.95004390722056,-250.3021500820384,-253.43721233166204,-256.3526676799327,-259.21670738452,-261.9982282901129,-264.6579874369065,-267.24618451288313,-269.66656084019485,-272.119655437229,-274.56150043676405,-277.03856086942244,-279.6134391458492,-282.41139692794246,-285.46704122491633,-289.0723930827936,-293.1264204870916,-297.7573018130695,-302.9058886728694,-308.62837272316085,-313.84800065735124,-319.7657321967657,-326.29288528722634,-333.54247715504306,-341.37987228088895,-349.85327201028804,-358.78428961371793,-368.1765356168062,-377.86036527361387,-387.86726624195126,,,,
12,WECC_NevadaSouth,SH,WECC_NevadaSouth_capacity_SH12,,,,,,,,,,-385.6285528368191,-392.34765875475864,-398.4777662358735,-404.2676091913997,-409.7551479972582,-414.8873767681821,-419.66009980439463,-424.3486532692312,-428.9021199891739,-433.2562575883687,-437.49324506756244,-441.4555029222458,-445.4713219606741,-449.46872493481106,-453.52377705421736,-457.73896109832714,-462.3193356764757,-467.3215539184011,-473.22366655955295,-479.8602799425727,-487.4412274592515,-495.86968071074216,-505.2376278025693,-513.7823782809963,-523.4699537250989,-534.1551778820063,-546.0230647049653,-558.8532101857429,-572.7245219544268,-587.344973431412,-602.7204751990186,-618.5733116724764,-634.9550294720682,,,,
13,WECC_NorthwesternMT,SH,WECC_NorthwesternMT_capacity_SH13,,,,,,,,,,-178.00355710242985,-181.10505139050278,-183.934667945168,-186.6072206738666,-189.14023183187012,-191.50923425756568,-193.71229124403843,-195.87649612012027,-197.9783458595516,-199.9881866119247,-201.94395165356076,-203.77290334062403,-205.62657851135856,-207.4717529501645,-209.34353784830063,-211.28923857033834,-213.4035087968923,-215.7124992331948,-218.4368748968112,-221.50029118328885,-224.99960578084318,-228.89012334910984,-233.21430498147515,-237.1585045707528,-241.63022450970166,-246.5624524123673,-252.04058948037041,-257.9628986997463,-264.365803304031,-271.11450578003286,-278.2117344129624,-285.52929754899066,-293.0909887627879,,,,
14,WECC_PNW_Avista,SH,WECC_PNW_Avista_capacity_SH14,,,,,,,,,,-185.11424235826908,-187.3129600112013,-189.35910463092847,-191.3796645079615,-193.33390557098633,-195.21372669877,-197.1565813040334,-198.9918990688528,-200.8079573364976,-202.6567327911648,-204.50435432432397,-206.37170263488983,-208.24427162330593,-210.12721613035964,-211.98567576658635,-213.88021229253715,-215.79702589563482,-217.73719306456817,-219.74324578788537,-221.94830219874729,-224.36427161811184,-226.8411969579116,-229.48320264790553,-231.1823351540871,-233.05649793609194,-235.15950718674148,-237.38748994127457,-239.79816776659268,-242.35734257300234,-245.03850128647073,-247.80368917557036,-250.61888400360704,-253.45615312680306,,,,
15,WECC_PNW_Bonneville_IDMT,SH,WECC_PNW_Bonneville_IDMT_capacity_SH15,,,,,,,,,,-51.144086506999486,-51.751556815137064,-52.31687364923902,-52.87512183061637,-53.41504719081331,-53.934411520387584,-54.471190985523506,-54.978259752010366,-55.480007429330705,-55.99079433897605,-56.50126243867634,-57.01718072955234,-57.53454140971287,-58.054768678721445,-58.56823117190437,-59.0916611292081,-59.62124588446904,-60.15728285419028,-60.71152294242925,-61.32074454738642,-61.988238022810656,-62.67257263821492,-63.40251629808479,-63.87195926895475,-64.38976028863827,-64.97078790526042,-65.5863436900682,-66.25237518320398,-66.9594340027638,-67.70019501301189,-68.46417193238102,-69.24196496432128,-70.0258567688186,,,,
16,WECC_PNW_Bonneville_OR,SH,WECC_PNW_Bonneville_OR_capacity_SH16,,,,,,,,,,-261.2315937433409,-264.3344047931545,-267.2219061179104,-270.07330247837854,-272.83111031071496,-275.48389738375346,-278.22563674685586,-280.8156210647633,-283.37842654933235,-285.9874022410114,-288.5947495287881,-291.22993507166467,-293.8724879892924,-296.5296827477374,-299.152324671418,-301.8258779851671,-304.5308685146208,-307.2688153911666,-310.09973938366574,-313.21149563302333,-316.62089046842607,-320.11630576362984,-323.84468099982763,-326.24248187628245,-328.8872839414312,-331.855032134144,-334.9991418384256,-338.40106922276357,-342.0125542431993,-345.7961818824094,-349.6983907565988,-353.6711689840175,-357.67509826298016,,,,
17,WECC_PNW_Bonneville_WA,SH,WECC_PNW_Bonneville_WA_capacity_SH17,,,,,,,,,,-444.2487013787228,-449.5253211005223,-454.4357865437354,-459.2848521261265,-463.9747616834337,-468.4860736397872,-473.1486572657704,-477.55316727673073,-481.9114571454693,-486.34826375966395,-490.782301121072,-495.2636800329393,-499.7575878530405,-504.2763954897206,-508.73644280666656,-513.2830696931019,-517.8831584983335,-522.5392926470399,-527.3535430573684,-532.645374925693,-538.4433689830392,-544.3876488590762,-550.7280988528881,-554.8057829885078,-559.3035156938421,-564.3504484240657,-569.6973003614759,-575.4825953214787,-581.624262596049,-588.0586744569329,-594.6947447730308,-601.4508248593102,-608.259880215528,,,,
18,WECC_PNW_ChelanCountyPUD,SH,WECC_PNW_ChelanCountyPUD_capacity_SH18,,,,,,,,,,-28.792717668939304,-29.13470678770234,-29.452964656978555,-29.767243068684994,-30.07120623471638,-30.363594104557478,-30.66578621797078,-30.951252023097545,-31.23372220099687,-31.521281218722123,-31.80866075519423,-32.09910859978327,-32.3903684699705,-32.683242151040105,-32.9723074488978,-33.26698415561831,-33.5651258447443,-33.86689995360799,-34.17892191883144,-34.521896969660624,-34.89767748499193,-35.282939100129404,-35.69387735610918,-35.95816087049118,-36.24966863975002,-36.57677124859159,-36.92331226891125,-37.298269728320676,-37.69632444700518,-38.11335257449579,-38.54345062194005,-38.98132676174479,-39.42263634319166,,,,
19,WECC_PNW_DouglasCountyPUD,SH,WECC_PNW_DouglasCountyPUD_capacity_SH19,,,,,,,,,,-31.64580741324717,-32.021684463626336,-32.37147871905817,-32.716899189795186,-33.05098227023073,-33.37234305059717,-33.70447958362045,-34.018232387227954,-34.328692724892804,-34.64474615894196,-34.96060232681996,-35.279830843528316,-35.5999518499971,-35.92184658095317,-36.2395555534454,-36.563431973075865,-36.89111672254707,-37.222793830668984,-37.56573426212456,-37.942694941240916,-38.35571180038422,-38.779149247885364,-39.23080765182619,-39.52127919726322,-39.84167266728922,-40.201188093474144,-40.58206809639436,-40.99418034245134,-41.431678570727755,-41.89003029564019,-42.362747047658274,-42.8440126284362,-43.32905187289605,,,,
