,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
11,WECC_NevadaNorth,SH,WECC_NevadaNorth_capacity_SH11,,,,,,,,,,-235.56422995502336,-239.06311226998022,-244.31257776932486,-251.1905529842753,-259.4687472969087,-268.88572844024816,-279.1779735359261,-290.10697644364177,-301.4959930843255,-313.1982272353581,-325.06160302301,-336.95536608962766,-348.7696209551015,-362.4947010300981,-377.9639070927869,-395.07095249222084,-413.75081900208676,-433.9433990770486,-455.6109463997602,-478.64149506020283,-502.87599816450245,-528.0880564139947,-554.0011688848205,-578.7440819023961,-602.1218865916765,-624.0353350321925,-644.4263305146492,-663.2368999047659,-680.4170410223298,-695.9391948109864,-709.7494737896841,-721.7976355747045,-732.0713270518366,,,,
12,WECC_NevadaSouth,SH,WECC_NevadaSouth_capacity_SH12,,,,,,,,,,-385.6285528368191,-391.3563703578442,-399.9499661854688,-411.2095009165919,-424.76125320721883,-440.1772474398363,-457.0260855781477,-474.9173230383362,-493.5616223286822,-512.718671858154,-532.1395170247782,-551.6101074452317,-570.9505395961058,-593.419072988892,-618.7428139856817,-646.7477668682013,-677.327494065153,-710.3835969965525,-745.8542833532033,-783.5562602308477,-823.2291611743177,-864.5023610087987,-906.9232160916362,-947.4284054480881,-985.6988550513673,-1021.5720918810587,-1054.9530091803585,-1085.7467024899595,-1113.8713161376406,-1139.2817347889486,-1161.889742370765,-1181.613089987627,-1198.4315550719687,,,,
13,WECC_NorthwesternMT,SH,WECC_NorthwesternMT_capacity_SH13,,,,,,,,,,-178.00355710242985,-180.6474793060005,-184.61422558130826,-189.81155139837858,-196.06694948795771,-203.18286917152338,-210.96018000496574,-219.21865538353921,-227.82473905900872,-236.6675048105282,-245.63203686129023,-254.619530988033,-263.54694492932003,-273.9182694522816,-285.60753868146304,-298.5344373587087,-312.64983461401175,-327.9083103219115,-344.28134156635946,-361.6843215704208,-379.9970669222887,-399.04849952366516,-418.62968210084597,-437.326606209593,-454.9919894162551,-471.55083526283073,-486.9592431073915,-501.17340568717776,-514.1555389721506,-525.8848180261026,-536.3205229005416,-545.4246880562137,-553.1879788913782,,,,
14,WECC_PNW_Avista,SH,WECC_PNW_Avista_capacity_SH14,,,,,,,,,,-185.11424235826908,-187.51516909998875,-190.90070622517607,-195.190602442502,-200.2404805143391,-205.88882000313097,-211.97185789927906,-218.33972073401364,-224.88185443510625,-231.50511378810984,-238.1100067145771,-244.6087750796452,-250.92402642014906,-258.6276360319148,-267.6079810880205,-277.7991363837719,-289.1675612305102,-301.68592523823907,-315.34402024867416,-330.08003372831,-345.7983459712925,-362.35426418946605,-379.5647348344345,-396.10973104836927,-411.8558566956247,-426.7264081824391,-440.66457976675275,-453.6074355745168,-465.4941935563965,-476.27930051103027,-485.90150366165875,-494.30685647709134,-501.4740044086893,,,,
15,WECC_PNW_Bonneville_IDMT,SH,WECC_PNW_Bonneville_IDMT_capacity_SH15,,,,,,,,,,-51.144086506999486,-51.80742393264083,-52.742793363957304,-53.92802266047106,-55.32322271458675,-56.88376802841827,-58.56441351750944,-60.32375155403964,-62.131237826767745,-63.96113781173332,-65.78596344857941,-67.58146857675166,-69.32627090399274,-71.45465428163564,-73.9357791187147,-76.75143134196942,-79.89234419882361,-83.35096674229207,-87.12447862249941,-91.195802031058,-95.53851878184835,-100.11265258574178,-104.86762869281452,-109.43874492268175,-113.78914606952976,-117.89764016463283,-121.74853269551592,-125.32443549287478,-128.60855545451676,-131.58830696389808,-134.24676686441302,-136.56903059754245,-138.54919824511157,,,,
16,WECC_PNW_Bonneville_OR,SH,WECC_PNW_Bonneville_OR_capacity_SH16,,,,,,,,,,-261.2315937433409,-264.61976048410725,-269.39740075436936,-275.4512646363102,-282.5776082396426,-290.548495340835,-299.1328250183777,-308.11909714884507,-317.3512987960356,-326.69798425102067,-336.01875116611205,-345.1897560317985,-354.10178328347104,-364.9730495394906,-377.64603364641465,-392.02770253411967,-408.07072387721627,-425.736529269268,-445.01071304691914,-465.80604590552383,-487.9875901556028,-511.3511566047334,-535.6384216924013,-558.9865751050318,-581.2073693870537,-602.1925611003124,-621.8619864802973,-640.1268309740491,-656.9013194871372,-672.1211677417008,-685.6999363569,-697.5614964615025,-707.6757127039355,,,,
17,WECC_PNW_Bonneville_WA,SH,WECC_PNW_Bonneville_WA_capacity_SH17,,,,,,,,,,-444.2487013787228,-450.01059508028965,-458.1354181742525,-468.4305786077112,-480.54959088334516,-494.1048281837011,-508.7032818271068,-523.9852761180355,-539.6854965004924,-555.5804072808941,-571.4312411656781,-587.027390710752,-602.183124657302,-620.6707273525718,-642.2223193764125,-666.6796893119151,-693.9623441230483,-724.0046946357464,-756.7822426752422,-792.1466466693853,-829.8684324858202,-869.600357349393,-910.903117940587,-950.6088314973597,-988.3973656556391,-1024.0846423483586,-1057.534335613673,-1088.5954080167514,-1117.121991005612,-1143.0047631672142,-1166.0967262685504,-1186.2684160603008,-1203.4685845651065,,,,
18,WECC_PNW_ChelanCountyPUD,SH,WECC_PNW_ChelanCountyPUD_capacity_SH18,,,,,,,,,,-28.792717668939304,-29.16615844225565,-29.692745772119604,-30.359997351689916,-31.145456707667343,-32.02400090895224,-32.97015821420308,-33.96061726489132,-34.97818245170957,-36.008365943642694,-37.03569271678901,-38.046512847900765,-39.02878869301699,-40.22701014673967,-41.6238153653769,-43.20895032534924,-44.977198099170906,-46.92430771083416,-49.04869138072977,-51.34073477123061,-53.78556516828087,-56.36067701776967,-59.037598122905834,-61.61101116099894,-64.0601676622238,-66.37313712954662,-68.54108398299114,-70.5542191602483,-72.4030886054684,-74.08060696179822,-75.5772469563213,-76.88461773146774,-77.99939779515746,,,,
19,WECC_PNW_DouglasCountyPUD,SH,WECC_PNW_DouglasCountyPUD_capacity_SH19,,,,,,,,,,-31.64580741324717,-32.0562526837668,-32.635019906046324,-33.36838989307072,-34.23168094450937,-35.197280681135794,-36.23719334964036,-37.32579765331123,-38.44419405835824,-39.57645912485423,-40.705584398378946,-41.816567375616415,-42.896177594375516,-44.213131617226736,-45.748347203718495,-47.49055425218353,-49.43401888628539,-51.57406889794682,-53.90895917341004,-56.42812268387095,-59.115212968042634,-61.945494381332225,-64.8876733978334,-67.71608766336436,-70.40793272828073,-72.95009589457956,-75.33286605872668,-77.54548415365,-79.57755931475192,-81.4213040924069,-83.0662471498222,-84.50316617371217,-85.72841054311426,,,,
20,WECC_PNW_GrantCountyPUD,SH,WECC_PNW_GrantCountyPUD_capacity_SH20,,,,,,,,,,-72.61880120042214,-73.56066509772444,-74.88878358454944,-76.57167473656307,-78.55270054588667,-80.76849786771139,-83.154823814583,-85.65288425215954,-88.2193097233383,-90.8175601233466,-93.40860552464483,-95.95801912966121,-98.43544050893665,-101.45750346744076,-104.98041928435768,-108.97832604181002,-113.4380660023337,-118.34891767776757,-123.70687649122111,-129.4876938920418,-135.65385905274377,-142.14861017756067,-148.9001368586563,-155.390603370661,-161.5676795020689,-167.4012750612459,-172.86910562081837,-177.94648195283864,-182.60955975715484,-186.84046888595128,-190.61518037656262,-193.91253144662218,-196.72414488159183,,,,
21,WECC_PNW_IdahoPowerFE,SH,WECC_PNW_IdahoPowerFE_capacity_SH21,,,,,,,,,,-33.929122424017415,-34.43307842121642,-35.18917690706008,-36.17983522195775,-37.37217188672544,-38.72853191701541,-40.21095921056472,-41.78510091153148,-43.42549996517689,-45.11101280904418,-46.8197354344539,-48.53283484367481,-50.23448241451245,-52.21135268141551,-54.43943538481888,-56.903421694546125,-59.59394681289095,-62.50235324433837,-65.6232042575879,-68.94037301933767,-72.43095146101366,-76.06233051661906,-79.79468481157227,-83.3584912734465,-86.72567650975681,-89.8819455027725,-92.81893038457717,-95.52828108618667,-98.0027956224175,-100.23850456804266,-102.22764632469871,-103.96298430986897,-105.44273926222635,,,,
22,WECC_PNW_IdahoPowerMV,SH,WECC_PNW_IdahoPowerMV_capacity_SH22,,,,,,,,,,-85.02556973986835,-86.28847142209217,-88.18323615354899,-90.6658022096073,-93.65376938944345,-97.0527752024012,-100.76770256352673,-104.71246403726416,-108.82326485297317,-113.04711974856095,-117.32913780187853,-121.62212397080262,-125.88641210648738,-130.84040173948353,-136.42392373327124,-142.59861452537655,-149.34100615660722,-156.62940315015476,-164.45018118734183,-172.76292680941594,-181.5102329441339,-190.61038205160713,-199.96357269513527,-208.89438649799945,-217.33247220970932,-225.24200685754548,-232.60202076453805,-239.39158885741605,-245.59266313346856,-251.19529630796347,-256.1800380009383,-260.528753509592,-264.23698404757124,,,,
23,WECC_PNW_IdahoPowerTV,SH,WECC_PNW_IdahoPowerTV_capacity_SH23,,,,,,,,,,-155.4521545323507,-157.76111627250555,-161.22531252238684,-165.76418527988614,-171.22708234953888,-177.44148089469215,-184.23347845477858,-191.44568146717612,-198.9614540237188,-206.68392322868854,-214.51273207020714,-222.36159390528303,-230.1579871581248,-239.21536089094758,-249.4237079384132,-260.71288824194437,-273.03999535786687,-286.36536347007626,-300.6640832518967,-315.86226682166665,-331.8549568930905,-348.49274937893193,-365.5931774235383,-381.9213743604123,-397.348717076575,-411.8097104708701,-425.2660157062301,-437.67937549448084,-449.0167926923511,-459.26008069023527,-468.37367838009374,-476.3244301049773,-483.1041838707581,,,,
24,WECC_PNW_Olympia,SH,WECC_PNW_Olympia_capacity_SH24,,,,,,,,,,-114.91606786452766,-116.40652617218849,-118.50821542677825,-121.17131686382437,-124.30620331998206,-127.81260539767663,-131.5888615451822,-135.54193262359277,-139.60318836921255,-143.7148056688748,-147.81502137408708,-151.84935658763933,-155.7697672615103,-160.55204934672207,-166.1269091131414,-172.45342121002219,-179.510764094921,-187.28197148306376,-195.7607063071604,-204.90859629933627,-214.66628222030684,-224.9439410178241,-235.62793587106668,-245.89881445673024,-255.67376651029147,-264.90517562323475,-273.55777766662834,-281.59250302010605,-288.9716191244801,-295.6668472546107,-301.6401626309815,-306.85807607868986,-311.3073310231506,,,,
25,WECC_PNW_PacificorpEastID,SH,WECC_PNW_PacificorpEastID_capacity_SH25,,,,,,,,,,-69.34517850008339,-70.3751762154742,-71.92050897737778,-73.94524091181007,-76.382168039403,-79.15433017302354,-82.18415169330557,-85.4014213849229,-88.75410949058066,-92.19900227505843,-95.69133178436195,-99.19260667253059,-102.67047601053739,-106.71085229309227,-111.2646627586139,-116.30061884184126,-121.79958053790061,-127.74385344360792,-134.1223258332374,-140.90203728653478,-148.03616772709165,-155.4580699403409,-163.08634784197838,-170.37014351903608,-177.2520798785069,-183.702940410049,-189.70562265851828,-195.24306054666837,-200.30053447928353,-204.86993164703537,-208.93538870346788,-212.4821153424812,-215.50647506582513,,,,
26,WECC_PNW_PacificorpEastUT,SH,WECC_PNW_PacificorpEastUT_capacity_SH26,,,,,,,,,,-409.95712758189694,-416.04630225778334,-425.1820517638204,-437.1519292076027,-451.55863587363564,-467.9471959735857,-485.8589953864193,-504.8789571193053,-524.6994899263814,-545.065121413658,-565.7111909050191,-586.410143984021,-606.9707273548277,-630.8567579480609,-657.7781257832504,-687.5498580819277,-720.0588023280898,-755.2003521617777,-792.9088169140862,-832.9893400787146,-875.1651291741563,-919.0421769855442,-964.1392834404361,-1007.1998684478916,-1047.8847282053252,-1086.021139577303,-1121.507995701934,-1154.244404777389,-1184.1433470121794,-1211.1568608308824,-1235.1911647754691,-1256.1588210234997,-1274.0383312039367,,,,
27,WECC_PNW_PacificorpEastWY,SH,WECC_PNW_PacificorpEastWY_capacity_SH27,,,,,,,,,,-186.74963281557305,-189.5234622195868,-193.6851116969621,-199.1378043496278,-205.70055688873535,-213.1661121264113,-221.32555548855808,-229.98980506688295,-239.01874242373137,-248.29599105882528,-257.7009888919859,-267.13007702608155,-276.49613297837146,-287.3770450118298,-299.64065800904564,-313.202710479888,-328.0116575446757,-344.0198473930162,-361.19735565606214,-379.45541846423987,-398.6679472809448,-418.65545820956294,-439.19874799494045,-458.81433191318723,-477.34769091506473,-494.7201436459853,-510.88563243781033,-525.7981975896878,-539.4181985806591,-551.7237872563758,-562.6722429232011,-572.2237346326376,-580.3684691340567,,,,
