,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,CENTRAL_LDVM_CHARGING,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
1331,ElecLoadShapes,39869,12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.45335509303151533,0.5017156308795947,0.6412280932710664,0.6489952027043504,0.49100604606046083,0.3810777662975637,0.6425643268427564,0.6333830559671112,-0.4615731890231078,-0.47032743018375456,0.1623440605821783,0.1623440605821783,0.3587236156968738,0.1623440605821783,0.4646637514782494,0.396361245796058,0.1623440605821783,0.20737342378548546,0.22045512375491436,0.25237473154794154,0.26080552573994437,0.10567797045039161,0.19848784023819865,0.21476218825848703,0.13695235586587534,0.2520343763471933,0.09626480246218264,0.015287557038438246,0.04889306713478387,1,-0.4703274301837545,0.3127347696879162,0.5017156308795947
1332,ElecLoadShapes,39869,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3618645634900834,0.45335509303151533,0.6388137035305681,0.6412280932710664,0.6325086679010281,0.49100604606046083,0.6278676906989501,0.6425643268427564,-0.5900981464938425,-0.4615731890231078,0.10326118687516946,0.10326118687516946,0.32792842598740657,0.10326118687516946,0.43352697157603115,0.34946063996191573,0.10326118687516946,0.15829750844674856,0.19051047789724132,0.24264637785980994,0.2514485975992332,0.08154551722563523,0.17990812744440657,0.20594366635008665,0.12369609136459345,0.24427990036268063,0.08344567942595058,0.013477564857332236,0.028714792841345826,1,-0.46157318902310773,0.3525778751576213,0.45335509303151533
1333,ElecLoadShapes,39869,14,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3628126366707662,0.3618645634900834,0.6265156182502077,0.6388137035305681,0.7829779435761492,0.6325086679010281,0.6271539391127399,0.6278676906989501,-0.6917231708597091,-0.5900981464938425,0.05444088421964358,0.05444088421964358,0.30244240730605465,0.05444088421964358,0.40334339708347217,0.30751906078314567,0.05444088421964358,0.11468762176784361,0.16265451835781986,0.23323302820191374,0.24128220560736782,0.07656556133406758,0.16258116608114215,0.19777199037942864,0.11114134584566712,0.23765153567803174,0.07175047013892227,0.011619687604829584,0.01742153539201607,1,-0.5900981464938424,0.38724500279491897,0.3618645634900834
1334,ElecLoadShapes,39869,15,,,0.0,0.0,0.0,0.0,0.0,0.0,0.38178584112876474,0.3628126366707662,0.6337460653493941,0.6265156182502077,0.9954954983701382,0.7829779435761492,0.6196014600922113,0.6271539391127399,-0.8215251730984754,-0.6917231708597091,0.026025761672351013,0.026025761672351013,0.27653260330404367,0.026025761672351013,0.37638006478399033,0.2658635884213522,0.026025761672351013,0.07404858556915035,0.13865393091297384,0.22423155261603847,0.2327103992517623,0.07144811950758494,0.14604356181490014,0.18953506849903226,0.09908748899684282,0.22945304605023417,0.060855136502809284,0.009953186308355432,0.011626466093266487,1,-0.691723170859709,0.35941842142883845,0.3628126366707662
1335,ElecLoadShapes,39869,16,,,0.0,0.0,0.0,0.0,0.0,0.0,0.44627242868170863,0.38178584112876474,0.6872007417377295,0.6337460653493941,1.0,0.9954954983701382,0.6039131767954576,0.6196014600922113,-1.0,-0.8215251730984754,0.03532859395807716,0.03532859395807716,0.29083291199377953,0.03532859395807716,0.3881375345103171,0.2866155188938335,0.03532859395807716,0.07234817901301954,0.141759281748028,0.2285469309851445,0.23521276880561834,0.07314392044220241,0.15012018449985703,0.19589043207454818,0.10124369611830954,0.2320748156587041,0.06655446917217502,0.011666905497408116,0.01335963935845276,1,-0.8215251730984754,0.23701281466637358,0.38178584112876474
1336,ElecLoadShapes,39869,17,,,0.006867298866583911,0.0,0.007059588189918726,0.006807126574637282,0.00673968301240693,0.009321350146873728,0.5156402722701804,0.44627242868170863,0.7221862613875233,0.6872007417377295,0.9218870188267558,1.0,0.6610435747529606,0.6039131767954576,-0.7145749454019862,-1.0,0.04476760255248843,0.04476760255248843,0.3027328629386186,0.04476760255248843,0.3996862786532279,0.3127466438221422,0.04476760255248843,0.07149390730655661,0.14541491705987009,0.2325888249121076,0.24001765067779907,0.074138722995152,0.15368919428495142,0.20218213510492408,0.10376344525326,0.2341254024549904,0.07197059519294405,0.013444765235860823,0.01499523614384887,1,-1.0,0.2878740736489094,0.44627242868170863
1337,ElecLoadShapes,39869,18,,,0.006867298866583911,0.006994524993659437,0.007059588189918726,0.006807126574637282,0.00673968301240693,0.009321350146873728,0.5739394348544546,0.5156402722701804,0.7095053802318465,0.7221862613875233,0.7175260595691744,0.9218870188267558,0.7310428024100507,0.6610435747529606,-0.46136163761821875,-0.7145749454019862,0.054756362774030995,0.054756362774030995,0.3189282261257814,0.054756362774030995,0.4156369764530931,0.33381104686162866,0.054756362774030995,0.06921167475910626,0.15007335365564195,0.2376380292228683,0.24257576247471627,0.0751407516762188,0.15832403787569244,0.20850264069338523,0.10635737349144433,0.23671973850480435,0.07798547426473752,0.015296852837215422,0.016698835611375452,1,-0.7145749454019861,0.3262805721148027,0.5156402722701804
1338,ElecLoadShapes,39869,19,,,0.006867298866583911,0.006994524993659437,0.007059588189918726,0.006807126574637282,0.00673968301240693,0.009321350146873728,0.5588407090295898,0.5739394348544546,0.6767901507383565,0.7095053802318465,0.5221566532646986,0.7175260595691744,0.8072250162176626,0.7310428024100507,-0.24940098742014763,-0.46136163761821875,0.11070359923847234,0.11070359923847234,0.3709476735459166,0.11070359923847234,0.4480264415486696,0.38383430653248723,0.11070359923847234,0.1161381195774503,0.20633218077174337,0.25996700283175345,0.2675168840483291,0.08379328901281449,0.18371707030304707,0.23866347797500084,0.12579176097834352,0.2451525524154411,0.09443340200630151,0.02125806180915045,0.024432707190664444,1,-0.4613616376182187,0.343738228979173,0.5739394348544575
1339,ElecLoadShapes,39869,20,,,0.021745875256240575,0.006994524993659437,0.022354249002703122,0.021708660179980313,0.02142367904562718,0.028871187861980778,0.5389663947682798,0.5588407090295898,0.6135235308921267,0.6767901507383565,0.3468029892710011,0.5221566532646986,0.8866878552764679,0.8072250162176626,-0.22676100951613926,-0.24940098742014763,0.1868407568534195,0.1868407568534195,0.42783135837846503,0.1868407568534195,0.4824627247826443,0.43218307040153164,0.1868407568534195,0.16758447623167025,0.272842818952879,0.282854970599348,0.2943893806046591,0.09412332567037981,0.21092409742762733,0.272107366388012,0.14601062135203025,0.2549680757539234,0.11259562180649652,0.029405807920268666,0.046800865633965,1,-0.2494009874201476,0.5221089292882112,0.5588407090295898
1340,ElecLoadShapes,39869,21,,,0.029792359663233816,0.022200676078890785,0.030629957319809005,0.029852419680258088,0.029407946800129616,0.03914168769687079,0.42428476243869073,0.5389663947682798,0.5513048984683828,0.6135235308921267,0.18620279580903476,0.3468029892710011,0.954446840378441,0.8866878552764679,-0.1619695499764242,-0.22676100951613926,0.2779385113667009,0.2779385113667009,0.48772303381997967,0.2779385113667009,0.519720038092292,0.48819394846221015,0.2779385113667009,0.22428816867883353,0.34888732691495244,0.3077709132835261,0.32078222841764836,0.13407269087644968,0.2402896512237951,0.30736197030042156,0.16826159993878667,0.266597917014137,0.13205888573883043,0.04090478294117663,0.07295510716761597,1,-0.22676100951613923,0.9985815863718365,0.5389663947682798
