,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,ISO NEW ENGLAND_WH,PJM INTERCONNECTION _WH,NEW YORK INDEPENDENT SYSTEM OPERATOR_WH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,EASTERN_LDVM,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
20,ElecLoadShapes,39814,21,,,0.504812214,0.27625644,0.379469309,0.520778829,0.377176406,0.403083722,0.637668054,0.631518264,0.638431889,0.438770029,0.50636794,1,0.524301657,1,0.346802989,0.577001725,1,-0.16196955,-0.22676101,0.489147704,0.489147704,0.369890762,0.489147704,0.499295748,0.48037499,0.489147704,0.57868125,0.363339796,0.238485261,0.313051028,0.27830912,0.242088049,0.307300258,0.287346141,0.380149944,0.242321683,0.24344724,0.313773566,1,-0.22676101,0.99594806,0.50636794
21,ElecLoadShapes,39814,22,,,0.497593488,0.382367277,0.379469309,0.540255383,0.377176406,0.403083722,0.599599646,0.598240811,0.599697844,0.349836068,0.438770029,1,0.501433099,1,0.186202796,0.563674736,1,-0.063165482,-0.16196955,0.490899622,0.490899622,0.373352132,0.490899622,0.490814531,0.472738326,0.490899622,0.584284352,0.391457001,0.235403521,0.315655088,0.300987147,0.246370769,0.300424567,0.285907797,0.385004701,0.250015931,0.279050045,0.329139433,1,-0.16196955,0.987718312,0.438770029
22,ElecLoadShapes,39814,23,,,0.494593645,0.382367277,0.379469309,0.560651618,0.377176406,0.403083722,0.50158248,0.501754237,0.501481725,0.26211435,0.349836068,1,0.477998662,1,0.104788056,0.434524368,1,-0.028420546,-0.063165482,0.49503336,0.49503336,0.374583954,0.49503336,0.481025053,0.464797984,0.49503336,0.590663448,0.420555665,0.232969126,0.319348328,0.321447052,0.249098276,0.294876601,0.284664968,0.392389737,0.257087221,0.315299786,0.345348915,1,-0.063165482,0.937692796,0.349836068
23,ElecLoadShapes,39814,24,,,0.496960494,0.382367277,0.402387147,0.574207813,0.400418634,0.42507691,0.383515154,0.38197097,0.383478665,0.211041677,0.26211435,1,0.46225432,1,0.028028572,0.368794713,1,-0.018282435,-0.028420546,0.497508557,0.497508557,0.376341781,0.497508557,0.470618121,0.451248823,0.497508557,0.596066347,0.449522972,0.230780653,0.322375507,0.342552248,0.2535354,0.289070251,0.283038633,0.399827655,0.26443369,0.352176488,0.361706216,1,-0.028420546,0.863213934,0.26211435
24,ElecLoadShapes,39815,1,,,0.499855107,0.405446503,0.425888449,0.58775089,0.424269312,0.447533545,0.255306429,0.251110545,0.25585543,0.186092383,0.211041677,1,0.457876056,1,0.004404759,0.690069792,1,-0.020039516,-0.018282435,0.503412665,0.503412665,0.366252911,0.503412665,0.461906654,0.445192493,0.503412665,0.605812259,0.463990188,0.237058726,0.325352931,0.356589357,0.252320811,0.288744982,0.279730096,0.401748222,0.265244881,0.384279785,0.373786611,1,-0.018282435,0.777819094,0.211041677
25,ElecLoadShapes,39815,2,,,0.504221312,0.429086184,0.425888449,0.603130416,0.424269312,0.447533545,0.203155299,0.198059022,0.203861008,0.157327314,0.186092383,1,0.454247219,1,0.004404759,0.385688261,1,-0.006102595,-0.020039516,0.508717189,0.508717189,0.351725576,0.508717189,0.452310659,0.435354486,0.508717189,0.611934783,0.478841474,0.24468211,0.328215745,0.372308415,0.252661029,0.287547234,0.274784806,0.402871484,0.266710365,0.416209294,0.387186495,1,-0.020039516,0.67495297,0.186092383
26,ElecLoadShapes,39815,3,,,0.512688219,0.429086184,0.402387147,0.612028445,0.400418634,0.42507691,0.178982962,0.17259429,0.179839625,0.170829285,0.157327314,1,0.460374304,1,0.005964197,0.236016236,1,-0.074353111,-0.006102595,0.514372664,0.514372664,0.342111841,0.514372664,0.444533321,0.428139099,0.514372664,0.621204975,0.495223481,0.252026259,0.330521551,0.387355129,0.252855914,0.287450751,0.270653653,0.404658432,0.26770358,0.45647908,0.393879449,1,-0.006102595,0.571641435,0.157327314
27,ElecLoadShapes,39815,4,,,0.521540427,0.405446503,0.425888449,0.623998881,0.424269312,0.447533545,0.17992588,0.172240613,0.180977745,0.291466461,0.170829285,1,0.468280623,1,0.014187455,0.172900913,1,-0.287155577,-0.074353111,0.518500246,0.518500246,0.344458708,0.518500246,0.442537252,0.426613962,0.518500246,0.631222299,0.504763795,0.253590188,0.331401532,0.406705788,0.252756048,0.286278671,0.273147985,0.402035201,0.27237488,0.502521653,0.406139572,1,-0.074353111,0.481007356,0.170829285
28,ElecLoadShapes,39815,5,,,0.533917005,0.429086184,0.335477686,0.638519939,0.332624785,0.360553758,0.227142531,0.215035509,0.228780337,0.69713905,0.291466461,1,0.480299158,1,0.046042864,0.143459363,1,-0.600342159,-0.287155577,0.523299924,0.523299924,0.347125585,0.523299924,0.441188277,0.423676116,0.523299924,0.64404033,0.5167978,0.255782626,0.331347726,0.423796253,0.251955832,0.284975994,0.275959449,0.396799506,0.276637104,0.557906249,0.417148908,1,-0.287155577,0.407104043,0.291466461
29,ElecLoadShapes,39815,6,,,0.542806448,0.33799957,0.335477686,0.656138183,0.332624785,0.360553758,0.37970213,0.365394137,0.381646749,0.935064325,0.69713905,1,0.483788254,1,0.171214269,0.13472088,1,-0.86644781,-0.600342159,0.526845419,0.526845419,0.34975624,0.526845419,0.439835295,0.422082636,0.526845419,0.651827495,0.52720781,0.2582997,0.333556778,0.443939712,0.251865658,0.284155124,0.27889051,0.393179357,0.280341507,0.616725044,0.429501928,1,-0.600342159,0.340190211,0.69713905
