census_division,Scenario,Category,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,NREL Medium Electrification,Industry,200.14107684370066,204.09949333445286,207.58880096260808,212.48352583784717,216.71967449822188,220.88467448762705,223.09987973689317,223.11919975160333,223.11923038829138,223.63159295781327,223.24630368492433,223.14712607930835,222.93317232820448,222.805028512996,223.15406129078985,224.3740526320912,225.97533095244546,227.25892416186008,228.39172515080253,230.21628032990108,232.28924203317507,233.94191936918463,235.7021626359809,237.4606205627664,239.89242875389516,242.7332846059603,245.4590645922612,248.14323642526833,250.83820473097498,253.41994191494695,256.2057169484331,259.33459412003805,262.7090754416196
East North Central,NREL Medium Electrification,Transportation: Heavy Duty,0.00014658328231877306,0.00022117713406509594,0.00032258403107079416,0.00045994873868207797,0.0006315934706377209,0.0008492177474576342,0.001118957238301751,0.0014304928348704787,0.001803538815724275,0.002313396610768324,0.0029605784033065676,0.0037489460345473766,0.004678190731274382,0.005770865046801082,0.007036761155559242,0.0086183013632547,0.010449778199321209,0.012406358045917719,0.014405652604211727,0.016476842315574707,0.018611745717806077,0.020597076524319097,0.022533061151807518,0.024417760438267183,0.02625271867812715,0.02804277179124337,0.029697622527639283,0.031228408873794217,0.03268579619814569,0.03399415265918542,0.035235994374547885,0.03645949614789365,0.03762332698144567
East North Central,NREL Medium Electrification,Transportation: Light Duty,0.1358739566218087,0.17757223808096262,0.2360867503390821,0.3157304370985594,0.4303796172102241,0.5671002026433068,0.7341584523844431,0.9376261547484216,1.2148693440519267,1.5687588169079576,2.006846030678353,2.451989205157438,2.9074486553218337,3.3758959119984415,3.867566502562286,4.368760149145216,4.8524163856190325,5.308369263662697,5.741659114896334,6.139183528122989,6.49973511334933,6.824682735146293,7.116232123654939,7.385584984066892,7.622846768498232,7.830448483013334,8.012529272265597,8.17490799794056,8.337865651290473,8.492719989191434,8.642936607933626,8.79044396562598,8.936359747156656
East North Central,NREL Medium Electrification,Transportation: Other,1.0434209389454114,1.0556433158345713,1.0689968312390838,1.0836126198811158,1.0982896325040712,1.113095173821098,1.1276480001745028,1.1409151066826408,1.15312879872276,1.1661088866425886,1.1799435157349256,1.1925866510070178,1.2035940846012678,1.213974073210984,1.2249437303876969,1.2371791335947786,1.24926169186837,1.2613946199728634,1.272889247031522,1.2848693302025251,1.2970131134126799,1.3082137743860525,1.3189120443648341,1.3294531279412451,1.3401683337579116,1.3506303888394822,1.3606760298739182,1.3706074710684337,1.3803973562953171,1.3898046962839192,1.3991929301780148,1.408822589114235,1.4183449966631505
East South Central,NREL High Electrification,Buildings Other,182.14785122495775,181.78448715059014,181.77301413000893,181.9698023800629,182.32852042011373,182.65996390370518,183.08051599047374,183.55016786545826,184.0694354152309,184.68805237491654,185.42684079074996,186.18716703452606,186.99490148666797,188.03772931242497,189.291791303392,190.77554677148967,192.47687270960733,194.3184586920834,196.2235710649187,198.22800065931273,200.32039251502084,202.43569080384862,204.54709593850953,206.50101971372936,208.51862809325303,210.60478631954547,212.75477470697075,214.9359932176956,217.15156379474183,219.33746674758245,221.48318466786142,223.6553395927111,225.8441535730186
East South Central,NREL High Electrification,Buildings: Space Heating,12.977423174525446,13.127034055884415,13.2630013282946,13.384451775433526,13.493371015494741,13.590239257623317,13.675328169119574,13.76113417774971,13.841343933810226,13.923860535644188,14.01211046820949,14.09958505092675,14.191551669399349,14.301754795451409,14.417337246135062,14.543930005465615,14.68105433856554,14.829805855973026,14.992312299101728,15.154024514099346,15.315829004842538,15.477597864262455,15.625978651249461,15.673435045739765,15.716946549195379,15.748211905732624,15.767282618983737,15.771233684710392,15.757099604182748,15.726342668910318,15.671683443585279,15.5968714979396,15.503839989218006
East South Central,NREL High Electrification,Buildings: Water Heating,18.724697750865257,18.582215400562045,18.42769473571705,18.27749069173203,18.133172400253606,18.00261990218606,17.891586907226046,17.800053680387904,17.7285309278497,17.67320328136397,17.627759110638394,17.583186003190146,17.536136876077425,17.484040506355864,17.421691891703862,17.34458234899242,17.252800832534415,17.14748420034624,17.029430143752492,16.89805785598333,16.754462228167537,16.60436908999498,16.449064420131407,16.233962984091878,16.027281577153317,15.833747769873511,15.655246987769225,15.496082886429082,15.355668703871066,15.236453968412192,15.137665156741429,15.058203505506816,14.997600916337623
East South Central,NREL High Electrification,Industry,105.8849264929084,108.80937678864692,110.52265998438769,112.92378146540678,116.12035868776044,118.49377091364671,120.08567494258337,120.74769389950309,120.82368191815138,121.04625824530791,120.86758822529778,120.76784021221872,120.69702435270935,120.77831379863663,121.24471514184808,122.20364007992498,123.4674866496765,124.5637898076039,125.53109334388994,126.72520946461127,128.24681670565846,129.7013585335252,131.157451118763,132.5434893547006,133.78111980905663,135.10482411666547,136.33770890862834,137.5320635355782,138.70997129381686,139.91229322560477,141.20964216753148,142.66610087002263,144.2847764241445
East South Central,NREL High Electrification,Transportation: Heavy Duty,0.0005187138115993074,0.000780269301729385,0.001130934693381884,0.0016063776263681242,0.002199738329862171,0.0029467684080927764,0.0038775099126484246,0.004958904355182831,0.00625113293858493,0.00801530542892125,0.010260970345038218,0.012998456491425822,0.016219746570236275,0.01991577552786791,0.024147761534106645,0.029379927780623094,0.03545076271359665,0.04196486477586826,0.048599294392184245,0.05546950480458885,0.06251507552111604,0.06909321449463245,0.07539241831468697,0.0815822181714585,0.08758195574645239,0.09345546750092845,0.09890932605627024,0.10394475001425924,0.10870885130461348,0.11295982544530049,0.1169521203329658,0.12086782127300914,0.1245852099040701
East South Central,NREL High Electrification,Transportation: Light Duty,0.036086061920319434,0.048230192469488536,0.06527591806864048,0.08846436975885923,0.12266709572590268,0.16244069484571858,0.2133148158583004,0.27463790373972136,0.36464186371058044,0.4875068618907909,0.6201065910102971,0.7562024190726165,0.8948177014346422,1.0422423847669566,1.2027149576826524,1.3678034937276051,1.5281647060209327,1.6848543140767638,1.8394373178559338,1.9870317843851046,2.1268615157479913,2.2591398296240706,2.3845161619551862,2.50856467505877,2.6261927359977117,2.738248959359972,2.8460666010308633,2.9513436135374804,3.0614052705007144,3.1716236854641484,3.2824608338352292,3.3939862020928575,3.5060889619337567
