,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ERCOT_AEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_BEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_FlatLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_LCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_RAYBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_FarWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_NorthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_SouthCen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCOT_WZ_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_DPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_GRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_IPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_MDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_MEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_MGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_MPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_NIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_NSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_OTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_SIGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_SIPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_UPPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_WEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISO_WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRO_Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRO_Saskatchewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_NewBrunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_NorthernMaineISA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_NovaScotia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Essa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Niagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Ottawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Ontario_West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_PrinceEdwardIsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPCC_Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY_A_West,15552887.653881712,15469265.14461867,15389987.845920822,15214238.409527345,15002693.59463946,14769389.56460809,14518609.313199598,14251569.653992824,13975813.785118895,13775937.62896756,13586021.014915917,13404677.52792317,13234428.53029364,13073217.169670485,12939772.775486797,12821864.34760277,12717055.04267955,12624462.7400331,12540666.270140648,12464185.469826799,12392654.355769943,12326729.722681267,12265535.065176707,12210163.88485169,12164616.657230955,12128123.842428746,12102162.059420034,12085050.988746395,12076526.179940516,12073951.4712911,12077420.81941513,12084644.321134599,12096142.775800843,12111617.234875109
NY_B_Genesee,10062189.693413425,10008088.772120269,9956799.054375794,9843095.142481318,9706232.837330628,9555293.059544247,9393046.76051666,9220281.177275762,9041876.502630731,8912563.423082888,8789693.828764083,8672370.756265024,8562225.441299396,8457927.170301558,8371593.182833722,8295310.4375182465,8227502.379539443,8167598.306796656,8113384.838888925,8063904.36055023,8017626.160987616,7974975.164055778,7935384.300562291,7899561.028872969,7870093.520682326,7846483.909839751,7829687.518634051,7818617.237487091,7813101.975934782,7811436.226948984,7813680.777267442,7818354.137364263,7825793.246718595,7835804.695786663
NY_C_Central,16251238.995730411,16163861.692319028,16081024.70688288,15897383.819238298,15676340.279185943,15432560.497894939,15170519.782900663,14891489.584799506,14603351.804261558,14394500.86574452,14196056.66985638,14006570.549142148,13828677.079399861,13660227.052072627,13520790.775621528,13397588.057014095,13288072.634464346,13191322.778555954,13103763.703384412,13023848.783908036,12949105.800094437,12880221.037864285,12816278.635237833,12758421.193908412,12710828.817615978,12672697.4128135,12645569.90120156,12627690.5140949,12618782.926746473,12616092.609260922,12619717.73706855,12627265.58640956,12639280.341419768,12655449.630258089
NY_D_North,4417097.802823335,4393348.592377507,4370833.443442792,4320919.725384955,4260839.940985128,4194580.430765867,4123357.5863565546,4047516.9888933217,3969200.944334569,3912435.1173177143,3858497.850019458,3806995.3936410714,3758643.8276748257,3712858.995774431,3674960.121078918,3641473.5384370824,3611707.1721651414,3585410.4955813615,3561611.8794475966,3539890.950026483,3519575.7562331823,3500852.8310473086,3483473.2425603783,3467747.5506891124,3454811.9104706845,3444447.768732578,3437074.4926415277,3432214.86307572,3429793.774781127,3429062.5446603075,3430047.8568619327,3432099.367442078,3435364.9860186684,3439759.8097130167
NY_E_MohawkValley,7853640.791550573,7811414.475482757,7771382.332207938,7682635.279347478,7575812.866402841,7458002.843732857,7331367.966917202,7196522.682415668,7057276.0300580105,6956345.864024395,6860444.903360226,6768873.059055621,6682903.527078056,6601497.6720350925,6534113.121918884,6474573.667927748,6421648.793087954,6374893.058639742,6332578.898801325,6293958.885175407,6257838.282511517,6224548.748174528,6193647.678926283,6165687.253174199,6142687.565094091,6124260.025121629,6111150.271962207,6102509.805598646,6098205.088193881,6096904.954268568,6098656.848486112,6102304.453292652,6108110.753358355,6115924.7905788
NY_F_Capital,12150086.389213381,12084759.567967093,12022827.272864202,11885529.885873603,11720268.756668668,11538009.089980643,11342096.807507405,11133482.4973604,10918058.988638878,10761913.543598225,10613548.602062857,10471881.081399374,10338880.69748935,10212940.61471603,10108692.390619628,10016581.033764958,9934702.855413126,9862368.733212367,9796906.01201472,9737158.372115994,9681277.481399823,9629776.435097035,9581970.497589786,9538713.924315834,9503131.93062459,9474623.343518466,9454341.71393342,9440974.357882034,9434314.68375926,9432303.293127913,9435013.585927505,9440656.664684154,9449639.383562244,9461728.20068501
NY_G_HudsonValley,9869964.144770846,9816896.753911374,9766586.862072945,9655055.121198164,9520807.39920459,9372751.137082394,9213604.350665487,9044139.237803,8869142.761324465,8742300.046420913,8621777.722020391,8506695.960077653,8398654.833588373,8296349.050605162,8211664.365984238,8136838.90710611,8070326.237262941,8011566.556903896,7958388.76949215,7909853.553803591,7864459.441360398,7822623.238378502,7783788.708813133,7748649.795922885,7719745.227619251,7696586.648861713,7680111.131701633,7669252.33442965,7663842.435050992,7662208.508116106,7664410.179108137,7668994.260505591,7676291.254980298,7686111.447835906
NY_H_Millwood,2993810.732934468,2977714.045855003,2962453.778244157,2928623.3693393087,2887902.6265806537,2842993.402988952,2794720.141779651,2743317.0701672314,2690236.1955234543,2651761.5794354123,2615204.0982676963,2580296.8778345087,2547525.2609028188,2516493.3192823757,2490806.3042117464,2468109.8426440754,2447934.861060368,2430111.5580430096,2413981.3848861665,2399259.4216123,2385490.234708367,2372800.2520827684,2361020.7532197596,2350362.2287295554,2341594.7392484415,2334570.154292825,2329572.711609042,2326278.962681205,2324638.002837141,2324142.3913108227,2324810.214025237,2326200.682307294,2328414.0460091387,2331392.7598463297
NY_I_Dunwoodie,6048970.046125319,6016446.821823127,5985613.576201287,5917259.51231128,5834983.5853485735,5744244.86719498,5646709.138609482,5542849.6537590185,5435600.181636371,5357862.535200512,5283998.444156738,5213468.691400163,5147253.908013179,5084554.124332738,5032653.720934724,4986795.706376365,4946032.321457453,4910020.483805533,4877429.601158479,4847683.995037116,4819863.465761455,4794223.45988411,4770423.078985995,4748887.6176196905,4731172.976988752,4716979.860665285,4706882.568685908,4700227.575975525,4696912.030061269,4695910.651034788,4697259.981355231,4700069.411121691,4704541.494338692,4710559.961230715
NY_J_NYC,53416209.11735665,53129008.596069664,52856731.649193734,52253122.28380952,51526574.11338513,50725294.17531734,49863992.36115576,48946847.80277812,47999767.525153145,47313295.2254649,46661028.85559172,46038206.7894362,45453488.616079524,44899810.100373745,44441496.90324371,44036541.799039625,43676575.47806989,43358568.3072545,43070770.320238605,42808097.91406278,42562425.14692846,42336007.772520766,42125835.443441235,41935663.77801563,41779232.36222657,41653898.22041726,41564732.7830326,41505965.01272103,41476686.657473184,41467843.850999296,41479759.28619166,41504568.31760715,41544059.6244723,41597206.47155845
NY_K_LongIsland,21012911.32467299,20899932.152509265,20792823.628055822,20555375.2901984,20269565.18628988,19954357.03949185,19615537.438778624,19254750.374411043,18882187.172717765,18612142.147087023,18355553.07765121,18110546.83210461,17880529.926568042,17662723.426534668,17482431.812259637,17323130.247515142,17181526.406520218,17056428.48977602,16943214.2860631,16839884.00355869,16743241.052739417,16654172.803805064,16571495.043873703,16496685.161104335,16435148.044886542,16385843.999329759,16350768.027823186,16327649.915049726,16316132.372103095,16312653.781776909,16317341.0852608,16327100.482001953,16342635.604073787,16363542.55354588
PJM_AEP,10771771.021388672,10900348.662744781,11051432.548553413,140615631.1175831,142049598.6474182,144107669.29903388,145637024.25267404,147560418.605986,148299304.54527965,149238441.91233984,150255543.18318808,151739877.88404,152440929.38455305,153140555.77874425,154019093.93283063,155283650.96877748,155642025.84208697,156457093.67904305,157482307.94448605,158613044.62413022,159682511.32501924,160717569.7266596,161709319.95178068,162667275.04157662,163612503.27255905,164573462.7123889,165540722.7803008,166523797.62684354,167494312.80798128,168480727.4586158,169473612.14376393,170482482.16153374,171478964.14899036,172491518.45842925
